latitude longitude
17.126 -70.124
15.216 -68.893
12.174 -68.299
12.172 -68.299
14.939 -67.794
18.597 -64.142
18.645 -64.104
18.196 -65.097
13.968 -64.988
18.561 -64.274
18.56 -64.199
16.08 -80.485
15.965 -79.938
16.183 -70.295
12.292 -68.942
12.17 -68.304
17.72 -75.64
17.704 -75.608
17.69 -75.544
17.704 -75.481
17.846 -70.957
11.101 -74.466
15.726 -73.747
13.577 -73.639
15.448 -71.429
15.448 -71.429
16.923 -69.862
15.744 -69.145
15.744 -69.145
12.504 -68.628
12.166 -68.308
12.164 -68.296
11.148 -67.539
11.505 -67.462
11.443 -67.028
13.595 -65.844
18.603 -64.135
15.744 -69.145
12.239 -68.487
17.713 -75.662
14.935 -75.281
14.773 -75.06
16.839 -70.196
17.736 -75.595
17.643 -75.463
11.177 -74.468
12.18 -69.036
13.227 -70.116
15.772 -69.138
15.772 -69.138
15.772 -69.138
12.206 -68.416
12.174 -68.328
12.07 -68.211
13.868 -67.177
18.612 -64.211
14.996 -78.319
12.154 -68.29
15.556 -76.657
15.992 -80.987
16.338 -80.416
17.719 -75.654
17.704 -75.64
15.349 -79.292
16.233 -74.151
17.727 -75.626
17.048 -70.773
17.048 -70.773
13.653 -70.56
13.185 -70.481
12.638 -70.337
11.069 -74.39
12.156 -68.289
12.168 -68.302
12.168 -68.313
12.172 -68.312
12.145 -68.293
11.87 -67.859
17.807 -66.683
12.164 -68.278
18.641 -64.03
16.08 -80.481
15.984 -79.907
15.994 -80.925
17.787 -75.815
17.717 -75.794
17.63 -75.75
17.665 -75.689
14.898 -78.227
17.958 -75.374
13.702 -73.181
14.382 -71.765
13.069 -69.308
12.478 -68.892
12.131 -68.334
12.185 -68.306
12.167 -68.3
14.355 -65.914
18.608 -64.131
11.83 -66.711
17.873 -66.435
18.615 -64.192
16.093 -80.515
15.185 -78.939
15.675 -76.492
17.696 -75.645
17.726 -75.801
17.667 -75.638
17.848 -70.984
11.092 -74.462
13.545 -73.584
12.086 -68.742
12.206 -68.344
12.181 -68.306
12.166 -68.303
13.563 -65.774
11.824 -66.723
10.91 -66.332
16.01 -79.953
15.906 -80.926
17.676 -75.772
17.665 -75.697
14.766 -79.991
14.551 -77.007
11.09 -74.577
13.277 -70.349
12.898 -69.864
12.22 -68.443
12.155 -68.433
12.174 -68.314
12.173 -68.298
12.093 -68.296
12.161 -68.295
12.211 -68.244
13.695 -68.086
15.158 -66.638
17.875 -66.19
16.271 -65.261
18.328 -64.468
18.613 -64.175
16.099 -80.539
17.727 -75.765
12.902 -70.77
16.085 -80.494
12.175 -68.321
17.746 -75.64
17.642 -75.702
17.686 -75.625
17.705 -75.561
17.638 -75.56
17.804 -75.493
17.754 -75.474
17.966 -71.111
12.623 -71.106
11.092 -74.454
17.802 -74.028
15.55 -71.802
15.55 -71.802
13.719 -68.894
13.719 -68.894
12.13 -68.393
12.097 -68.27
12.16 -68.24
17.989 -65.86
11.847 -66.675
18.574 -64.196
18.613 -64.163
14.245 -76.002
17.738 -75.699
16.413 -80.049
17.595 -75.596
14.998 -75.474
12.95 -69.915
13.563 -68.905
13.563 -68.905
19.203 -68.848
12.145 -68.357
12.142 -68.317
12.161 -68.308
11.369 -66.945
13.878 -68.019
18.581 -64.145
11.83 -66.699
11.973 -70.344
15.01 -75.764
17.382 -68.08
11.817 -66.728
11.821 -66.663
18.677 -63.886
17.709 -75.631
12.18 -68.279
16.381 -81.343
17.742 -75.64
17.765 -75.796
17.628 -75.731
17.788 -75.683
15.104 -78.701
17.723 -75.636
17.751 -75.615
11.078 -74.508
11.076 -74.492
11.111 -74.475
11.04 -74.314
17.645 -75.736
17.637 -75.702
17.704 -75.669
16.428 -80.073
14.966 -78.462
16.781 -74.215
16.943 -70.261
17.803 -75.516
17.697 -71.04
15.033 -71.025
12.312 -69.874
12.175 -68.314
12.138 -68.209
12.126 -68.208
14.94 -67.811
11.92 -66.83
11.313 -66.749
11.831 -66.71
13.108 -69.224
12.167 -68.3
17.698 -75.652
17.725 -75.64
17.601 -75.825
17.743 -75.612
17.819 -75.603
11.104 -74.445
13.828 -72.559
12.341 -71.999
13.048 -69.679
12.407 -69.283
15.111 -68.926
12.192 -68.361
12.201 -68.334
12.172 -68.31
12.156 -68.242
12.186 -68.203
17.897 -68.07
13.563 -65.815
18.604 -64.143
18.503 -64.117
13.596 -65.864
18.639 -64.194
18.598 -64.067
17.689 -75.532
12.15 -68.387
15.88 -81.248
17.699 -75.649
17.653 -75.892
17.695 -75.746
14.811 -77.383
17.737 -75.62
17.716 -75.545
13.514 -74.823
11.939 -70.327
13.711 -73.318
13.351 -70.12
16.927 -69.895
15.784 -69.238
15.784 -69.238
15.784 -69.238
20.113 -68.816
11.425 -67.928
13.182 -65.794
13.513 -66.026
13.91 -66.003
14.568 -74.425
16.005 -80.019
12.244 -68.427
17.74 -75.652
17.64 -75.696
11.949 -70.282
11.069 -74.376
15.626 -73.301
13.645 -72.409
12.498 -71.516
